low,high,open,close,volume,year,month,day,weekday,days
,,,,0,2010,3,1,1,14669
,,,,0,2010,3,2,2,14670
0.0,0.0,,0.0,0,2010,3,3,3,14671
0.0,0.0,0.0,0.0,0,2010,3,4,4,14672
0.0,0.0,0.0,0.0,0,2010,3,5,5,14673
0.0,0.0,0.0,0.0,0,2010,3,8,1,14676
0.0,0.0,0.0,0.0,0,2010,3,9,2,14677
0.0,0.0,0.0,0.0,0,2010,3,10,3,14678
0.0,0.0,0.0,0.0,0,2010,3,11,4,14679
0.0,0.0,0.0,0.0,0,2010,3,12,5,14680
16809.0,16809.0,16809.0,16800.0,300,2010,3,15,1,14683
16809.0,16809.0,16809.0,16800.0,0,2010,3,16,2,14684
16809.0,16809.0,16809.0,16800.0,0,2010,3,17,3,14685
16809.0,16809.0,16809.0,16800.0,0,2010,3,18,4,14686
16809.0,16809.0,16809.0,16800.0,0,2010,3,19,5,14687
16809.0,16809.0,16809.0,16800.0,0,2010,3,22,1,14690
16809.0,16809.0,16809.0,16800.0,0,2010,3,23,2,14691
16809.0,16809.0,16809.0,16800.0,0,2010,3,24,3,14692
16809.0,16809.0,16809.0,16800.0,0,2010,3,26,5,14694
16809.0,16809.0,16809.0,16800.0,0,2010,3,29,1,14697
16809.0,16809.0,16809.0,16800.0,0,2010,3,30,2,14698
16809.0,16809.0,16809.0,16800.0,0,2010,3,31,3,14699
16809.0,16809.0,16809.0,16800.0,0,2010,4,1,4,14700
16809.0,16809.0,16809.0,16800.0,0,2010,4,2,5,14701
16809.0,16809.0,16809.0,16800.0,0,2010,4,5,1,14704
16809.0,16809.0,16809.0,16800.0,0,2010,4,6,2,14705
16809.0,16809.0,16809.0,16800.0,0,2010,4,7,3,14706
16809.0,16809.0,16809.0,16800.0,0,2010,4,8,4,14707
16809.0,16809.0,16809.0,16800.0,0,2010,4,9,5,14708
16809.0,16809.0,16809.0,16800.0,0,2010,4,12,1,14711
16809.0,16809.0,16809.0,16800.0,0,2010,4,13,2,14712
16809.0,16809.0,16809.0,16800.0,0,2010,4,14,3,14713
16809.0,16809.0,16809.0,16800.0,0,2010,4,15,4,14714
